bag_set,product_name,product_brand,material_I,material_II,material_III
A,12 oz Hot cup / Soup bowl,BÉSICS®,Fiber,Lined fiber,PLA lined Paper
A,Hot cup lid,BÉSICS®,Biopolymer,Rigid biopolymer,CPLA
A,16 oz PLA cold cup,Greenware®,Biopolymer,Rigid biopolymer,PLA
A,Cutlery,BÉSICS®,Biopolymer,Rigid biopolymer,CPLA
A,"PLA-lined fibre bowl, white",BÉSICS®,Fiber,Lined fiber,PLA lined Bagasse
A,Uncoated paper food tray,BÉSICS®,Fiber,Unlined fiber,Paper
A,Lined paper food tray with lid,BÉSICS®,Fiber,Lined fiber,PLA-lined fibre
A,Kraft control,No name,Positive Control,Fiber,Kraft paper
B,"Fiber Clamshell, Lined 9x9x3 SKU TO-SC-U9L-LF",World Centric™,Fiber,Lined fiber,PLA-lined mixed fiber
B,16oz NoTree Paper Hot Cup SKU CU-SU-16,World Centric™,Fiber,Lined fiber,PLA-lined bamboo paper
B,14oz PLA Cold Cup SKU CP-CS-14,World Centric™,Bioopolymer,Rigid biopolymer,PLA
B,PLA Lid: 32oz Burrito Bowl SKU BOL-CS-UBB,World Centric™,Biopolymer,Rigid biopolymer,PLA
B,"Fiber Cutlery, Spoon SP-FB-6-LF",World Centric™,Fiber,Unlined fiber,Mixed fiber
B,3Gallon Food Scrap Bag BG-CS-3,World Centric™,Biopolymer,Film,PBAT and cornstarch
B,"8"" Kraft straw ST-PA-8-K",World Centric™,Fiber,Unlined fiber,Paper
B,TPLA Spoon SP-PS-6,World Centric™,Biopolymer,Rigid biopolymer,TPLA
B,Wrapper for TPLA Spoon SP-PS-I,World Centric™,Biopolymer,Film,Mixed biopolymer
C,Large brown bag,Sun & Swell/ Elevate,Biopolymer,Film,Not disclosed
C,Small zippered clear colour bag,Sun & Swell / Elevate,Biopolymer,Film,Not disclosed
C,Printed small bag with brown background and logo,Sun & Swell / TIPA,Biopolymer,Film,Not disclosed
C,Large natural clear colour bag,Sun & Swell / Elk,Biopolymer,Film,Not disclosed