bag_id,trial_id,bag_set,original_bag_id,load_concentration,bag_colour,bag_set_detail,bag_content,bag_type,bag_placement
839,CASP004-01,,CASP004-01_A-4,,Green,,Baseline,Standard,Top depth
840,CASP004-01,,CASP004-01_A-5,,Green,,Baseline,Standard,Bottom depth
841,CASP004-01,,CASP004-01_A-6,,Green,,Baseline,Standard,Bottom depth
842,CASP004-01,,CASP004-01_A-1,,Green,,Baseline,Standard,Top depth
843,CASP004-01,,CASP004-01_A-2,,Green,,Baseline,Standard,Top depth
844,CASP004-01,,CASP004-01_A-3,,Green,,Baseline,Standard,Top depth
845,CASP004-01,,CASP004-01_A-4,,Green,,Baseline,Standard,Top depth
846,CASP004-01,,CASP004-01_A-5,,Green,,Baseline,Standard,Bottom depth
847,CASP004-01,,CASP004-01_A-6,,Green,,Baseline,Standard,Bottom depth
848,CASP004-01,,CASP004-01_A-1,,Green,,Baseline,Standard,Top depth
849,CASP004-01,,CASP004-01_A-2,,Green,,Baseline,Standard,Top depth
850,CASP004-01,,CASP004-01_A-3,,Green,,Baseline,Standard,Top depth
851,CASP004-01,,CASP004-01_A-4,,Green,,Baseline,Standard,Top depth
852,CASP004-01,,CASP004-01_A-5,,Green,,Baseline,Standard,Bottom depth
853,CASP004-01,,CASP004-01_A-6,,Green,,Baseline,Standard,Bottom depth
854,CASP004-01,,CASP004-01_A-1,,Green,,Baseline,Standard,Top depth
855,CASP004-01,,CASP004-01_A-2,,Green,,Baseline,Standard,Top depth
856,CASP004-01,,CASP004-01_A-3,,Green,,Baseline,Standard,Top depth
857,CASP004-01,,CASP004-01_A-4,,Green,,Baseline,Standard,Top depth
858,CASP004-01,,CASP004-01_A-5,,Green,,Baseline,Standard,Bottom depth
859,CASP004-01,,CASP004-01_A-6,,Green,,Baseline,Standard,Bottom depth
860,CASP004-01,,CASP004-01_B-1,,Pink,,Custom,Standard,Top depth
861,CASP004-01,,CASP004-01_B-2,,Pink,,Custom,Standard,Top depth
862,CASP004-01,,CASP004-01_B-3,,Pink,,Custom,Standard,Top depth
863,CASP004-01,,CASP004-01_B-4,,Pink,,Custom,Standard,Top depth
864,CASP004-01,,CASP004-01_B-5,,Pink,,Custom,Standard,Bottom depth
865,CASP004-01,,CASP004-01_B-6,,Pink,,Custom,Standard,Bottom depth
866,CASP004-01,,CASP004-01_B-1,,Pink,,Custom,Standard,Top depth
867,CASP004-01,,CASP004-01_B-2,,Pink,,Custom,Standard,Top depth
868,CASP004-01,,CASP004-01_B-3,,Pink,,Custom,Standard,Top depth
869,CASP004-01,,CASP004-01_B-4,,Pink,,Custom,Standard,Top depth
870,CASP004-01,,CASP004-01_B-5,,Pink,,Custom,Standard,Bottom depth
871,CASP004-01,,CASP004-01_B-6,,Pink,,Custom,Standard,Bottom depth
872,CASP004-01,,CASP004-01_B-1,,Pink,,Custom,Standard,Top depth
873,CASP004-01,,CASP004-01_B-2,,Pink,,Custom,Standard,Top depth
874,CASP004-01,,CASP004-01_B-3,,Pink,,Custom,Standard,Top depth
875,CASP004-01,,CASP004-01_B-4,,Pink,,Custom,Standard,Top depth
876,CASP004-01,,CASP004-01_B-5,,Pink,,Custom,Standard,Bottom depth
877,CASP004-01,,CASP004-01_B-6,,Pink,,Custom,Standard,Bottom depth
878,CASP004-01,,CASP004-01_B-1,,Pink,,Custom,Standard,Top depth
879,CASP004-01,,CASP004-01_B-2,,Pink,,Custom,Standard,Top depth
880,CASP004-01,,CASP004-01_B-3,,Pink,,Custom,Standard,Top depth
881,CASP004-01,,CASP004-01_B-4,,Pink,,Custom,Standard,Top depth
882,CASP004-01,,CASP004-01_B-5,,Pink,,Custom,Standard,Bottom depth
883,CASP004-01,,CASP004-01_B-6,,Pink,,Custom,Standard,Bottom depth
884,CASP004-01,,CASP004-01_B-1,,Pink,,Custom,Standard,Top depth
885,CASP004-01,,CASP004-01_B-2,,Pink,,Custom,Standard,Top depth
886,CASP004-01,,CASP004-01_B-3,,Pink,,Custom,Standard,Top depth
887,CASP004-01,,CASP004-01_B-4,,Pink,,Custom,Standard,Top depth
888,CASP004-01,,CASP004-01_B-5,,Pink,,Custom,Standard,Bottom depth
889,CASP004-01,,CASP004-01_B-6,,Pink,,Custom,Standard,Bottom depth
890,CASP004-01,,CASP004-01_B-1,,Pink,,Custom,Standard,Top depth
891,CASP004-01,,CASP004-01_B-2,,Pink,,Custom,Standard,Top depth
892,CASP004-01,,CASP004-01_B-3,,Pink,,Custom,Standard,Top depth
893,CASP004-01,,CASP004-01_B-4,,Pink,,Custom,Standard,Top depth
894,CASP004-01,,CASP004-01_B-5,,Pink,,Custom,Standard,Bottom depth
895,CASP004-01,,CASP004-01_B-6,,Pink,,Custom,Standard,Bottom depth
896,CASP004-01,,CASP004-01_A-1,,Green,,Baseline,Standard,Top depth
897,CASP004-01,,CASP004-01_A-2,,Green,,Baseline,Standard,Top depth
898,CASP004-01,,CASP004-01_A-3,,Green,,Baseline,Standard,Top depth
899,CASP004-01,,CASP004-01_A-4,,Green,,Baseline,Standard,Top depth
900,CASP004-01,,CASP004-01_A-5,,Green,,Baseline,Standard,Bottom depth
901,CASP004-01,,CASP004-01_A-6,,Green,,Baseline,Standard,Bottom depth
902,CASP004-01,,CASP004-01_A-1,,Green,,Baseline,Standard,Top depth
903,CASP004-01,,CASP004-01_A-2,,Green,,Baseline,Standard,Top depth
904,CASP004-01,,CASP004-01_A-3,,Green,,Baseline,Standard,Top depth
905,CASP004-01,,CASP004-01_A-4,,Green,,Baseline,Standard,Top depth
906,CASP004-01,,CASP004-01_A-5,,Green,,Baseline,Standard,Bottom depth
907,CASP004-01,,CASP004-01_A-6,,Green,,Baseline,Standard,Bottom depth
908,CASP004-01,,CASP004-01_A-1,,Green,,Baseline,Standard,Top depth
909,CASP004-01,,CASP004-01_A-2,,Green,,Baseline,Standard,Top depth
910,CASP004-01,,CASP004-01_A-3,,Green,,Baseline,Standard,Top depth
911,CASP004-01,,CASP004-01_A-4,,Green,,Baseline,Standard,Top depth
912,CASP004-01,,CASP004-01_A-5,,Green,,Baseline,Standard,Bottom depth
913,CASP004-01,,CASP004-01_A-6,,Green,,Baseline,Standard,Bottom depth
914,CASP004-01,,CASP004-01_A-1,,Green,,Baseline,Standard,Top depth
915,CASP004-01,,CASP004-01_A-2,,Green,,Baseline,Standard,Top depth
916,CASP004-01,,CASP004-01_A-3,,Green,,Baseline,Standard,Top depth
917,CASP004-01,,CASP004-01_A-4,,Green,,Baseline,Standard,Top depth
918,CASP004-01,,CASP004-01_A-5,,Green,,Baseline,Standard,Bottom depth
919,CASP004-01,,CASP004-01_A-6,,Green,,Baseline,Standard,Bottom depth
920,CASP004-01,,CASP004-01_A-1,,Green,,Baseline,Standard,Top depth
921,CASP004-01,,CASP004-01_A-2,,Green,,Baseline,Standard,Top depth
922,CASP004-01,,CASP004-01_A-3,,Green,,Baseline,Standard,Top depth
923,CASP004-01,,CASP004-01_A-4,,Green,,Baseline,Standard,Top depth
924,CASP004-01,,CASP004-01_A-5,,Green,,Baseline,Standard,Bottom depth
925,CASP004-01,,CASP004-01_A-6,,Green,,Baseline,Standard,Bottom depth
926,CASP004-01,,CASP004-01_A-1,,Green,,Baseline,Standard,Top depth
927,CASP004-01,,CASP004-01_A-2,,Green,,Baseline,Standard,Top depth
928,CASP004-01,,CASP004-01_A-3,,Green,,Baseline,Standard,Top depth
929,CASP004-01,,CASP004-01_A-4,,Green,,Baseline,Standard,Top depth
930,CASP004-01,,CASP004-01_A-5,,Green,,Baseline,Standard,Bottom depth
931,CASP004-01,,CASP004-01_A-6,,Green,,Baseline,Standard,Bottom depth
932,CASP004-01,,CASP004-01_C-1,,Red,,Custom,Standard,Top depth
933,CASP004-01,,CASP004-01_C-2,,Red,,Custom,Standard,Top depth
934,CASP004-01,,CASP004-01_C-3,,Red,,Custom,Standard,Top depth
935,CASP004-01,,CASP004-01_C-4,,Red,,Custom,Standard,Top depth
936,CASP004-01,,CASP004-01_C-5,,Red,,Custom,Standard,Bottom depth
937,CASP004-01,,CASP004-01_C-6,,Red,,Custom,Standard,Bottom depth
938,CASP004-01,,CASP004-01_C-1,,Red,,Custom,Standard,Top depth
939,CASP004-01,,CASP004-01_C-2,,Red,,Custom,Standard,Top depth
940,CASP004-01,,CASP004-01_C-3,,Red,,Custom,Standard,Top depth
941,CASP004-01,,CASP004-01_C-4,,Red,,Custom,Standard,Top depth
942,CASP004-01,,CASP004-01_C-5,,Red,,Custom,Standard,Bottom depth
943,CASP004-01,,CASP004-01_C-6,,Red,,Custom,Standard,Bottom depth
944,CASP004-01,,CASP004-01_C-1,,Red,,Custom,Standard,Top depth
945,CASP004-01,,CASP004-01_C-2,,Red,,Custom,Standard,Top depth
946,CASP004-01,,CASP004-01_C-3,,Red,,Custom,Standard,Top depth
947,CASP004-01,,CASP004-01_C-4,,Red,,Custom,Standard,Top depth
948,CASP004-01,,CASP004-01_C-5,,Red,,Custom,Standard,Bottom depth
949,CASP004-01,,CASP004-01_C-6,,Red,,Custom,Standard,Bottom depth
950,CASP004-01,,CASP004-01_C-1,,Red,,Custom,Standard,Top depth
951,CASP004-01,,CASP004-01_C-2,,Red,,Custom,Standard,Top depth
952,CASP004-01,,CASP004-01_C-3,,Red,,Custom,Standard,Top depth
953,CASP004-01,,CASP004-01_C-4,,Red,,Custom,Standard,Top depth
954,CASP004-01,,CASP004-01_C-5,,Red,,Custom,Standard,Bottom depth
955,CASP004-01,,CASP004-01_C-6,,Red,,Custom,Standard,Bottom depth
956,CASP004-01,,CASP004-01_C-1,,Red,,Custom,Standard,Top depth
957,CASP004-01,,CASP004-01_C-2,,Red,,Custom,Standard,Top depth
958,CASP004-01,,CASP004-01_C-3,,Red,,Custom,Standard,Top depth
959,CASP004-01,,CASP004-01_C-4,,Red,,Custom,Standard,Top depth
960,CASP004-01,,CASP004-01_C-5,,Red,,Custom,Standard,Bottom depth
961,CASP004-01,,CASP004-01_C-6,,Red,,Custom,Standard,Bottom depth
962,CASP004-01,,CASP004-01_C-1,,Red,,Custom,Standard,Top depth
963,CASP004-01,,CASP004-01_C-2,,Red,,Custom,Standard,Top depth
964,CASP004-01,,CASP004-01_C-3,,Red,,Custom,Standard,Top depth
965,CASP004-01,,CASP004-01_C-4,,Red,,Custom,Standard,Top depth
966,CASP004-01,,CASP004-01_C-5,,Red,,Custom,Standard,Bottom depth
967,CASP004-01,,CASP004-01_C-6,,Red,,Custom,Standard,Bottom depth
968,CASP004-01,,CASP004-01_C-1,,Red,,Custom,Standard,Top depth
969,CASP004-01,,CASP004-01_C-2,,Red,,Custom,Standard,Top depth
970,CASP004-01,,CASP004-01_C-3,,Red,,Custom,Standard,Top depth
971,CASP004-01,,CASP004-01_C-4,,Red,,Custom,Standard,Top depth
972,CASP004-01,,CASP004-01_C-5,,Red,,Custom,Standard,Bottom depth
973,CASP004-01,,CASP004-01_C-6,,Red,,Custom,Standard,Bottom depth
974,CASP004-01,,CASP004-01_C-1,,Red,,Custom,Standard,Top depth
975,CASP004-01,,CASP004-01_C-2,,Red,,Custom,Standard,Top depth
976,CASP004-01,,CASP004-01_C-3,,Red,,Custom,Standard,Top depth
977,CASP004-01,,CASP004-01_C-4,,Red,,Custom,Standard,Top depth
978,CASP004-01,,CASP004-01_C-5,,Red,,Custom,Standard,Bottom depth
979,CASP004-01,,CASP004-01_C-6,,Red,,Custom,Standard,Bottom depth
980,CASP004-01,,CASP004-01_C-1,,Red,,Custom,Standard,Top depth
981,CASP004-01,,CASP004-01_C-2,,Red,,Custom,Standard,Top depth
982,CASP004-01,,CASP004-01_C-3,,Red,,Custom,Standard,Top depth
983,CASP004-01,,CASP004-01_C-4,,Red,,Custom,Standard,Top depth
984,CASP004-01,,CASP004-01_C-5,,Red,,Custom,Standard,Bottom depth
985,CASP004-01,,CASP004-01_C-6,,Red,,Custom,Standard,Bottom depth
986,CASP004-01,,CASP004-01_C-1,,Red,,Custom,Standard,Top depth
987,CASP004-01,,CASP004-01_C-2,,Red,,Custom,Standard,Top depth
988,CASP004-01,,CASP004-01_C-3,,Red,,Custom,Standard,Top depth
989,CASP004-01,,CASP004-01_C-4,,Red,,Custom,Standard,Top depth
990,CASP004-01,,CASP004-01_C-5,,Red,,Custom,Standard,Bottom depth
991,CASP004-01,,CASP004-01_C-6,,Red,,Custom,Standard,Bottom depth
992,CASP004-01,,CASP004-01_C-1,,Red,,Custom,Standard,Top depth
993,CASP004-01,,CASP004-01_C-2,,Red,,Custom,Standard,Top depth
994,CASP004-01,,CASP004-01_C-3,,Red,,Custom,Standard,Top depth
995,CASP004-01,,CASP004-01_C-4,,Red,,Custom,Standard,Top depth
996,CASP004-01,,CASP004-01_C-5,,Red,,Custom,Standard,Bottom depth
997,CASP004-01,,CASP004-01_C-6,,Red,,Custom,Standard,Bottom depth
998,CASP004-01,,CASP004-01_C-1,,Red,,Custom,Standard,Top depth
999,CASP004-01,,CASP004-01_C-2,,Red,,Custom,Standard,Top depth
1000,CASP004-01,,CASP004-01_C-3,,Red,,Custom,Standard,Top depth
1001,CASP004-01,,CASP004-01_C-4,,Red,,Custom,Standard,Top depth
1002,CASP004-01,,CASP004-01_C-5,,Red,,Custom,Standard,Bottom depth
1003,CASP004-01,,CASP004-01_C-6,,Red,,Custom,Standard,Bottom depth
1004,CASP004-01,,CASP004-01_B-1,,Pink,,Custom,Standard,Top depth
1005,CASP004-01,,CASP004-01_B-2,,Pink,,Custom,Standard,Top depth
1006,CASP004-01,,CASP004-01_B-3,,Pink,,Custom,Standard,Top depth
1007,CASP004-01,,CASP004-01_B-4,,Pink,,Custom,Standard,Top depth
1008,CASP004-01,,CASP004-01_B-5,,Pink,,Custom,Standard,Bottom depth
1009,CASP004-01,,CASP004-01_B-6,,Pink,,Custom,Standard,Bottom depth
1010,CASP004-01,,CASP004-01_B-1,,Pink,,Custom,Standard,Top depth
1011,CASP004-01,,CASP004-01_B-2,,Pink,,Custom,Standard,Top depth
1012,CASP004-01,,CASP004-01_B-3,,Pink,,Custom,Standard,Top depth
1013,CASP004-01,,CASP004-01_B-4,,Pink,,Custom,Standard,Top depth
1014,CASP004-01,,CASP004-01_B-5,,Pink,,Custom,Standard,Bottom depth
1015,CASP004-01,,CASP004-01_B-6,,Pink,,Custom,Standard,Bottom depth
1016,CASP004-01,,CASP004-01_B-1,,Pink,,Custom,Standard,Top depth
1017,CASP004-01,,CASP004-01_B-2,,Pink,,Custom,Standard,Top depth
1018,CASP004-01,,CASP004-01_B-3,,Pink,,Custom,Standard,Top depth
1019,CASP004-01,,CASP004-01_B-4,,Pink,,Custom,Standard,Top depth
1020,CASP004-01,,CASP004-01_B-5,,Pink,,Custom,Standard,Bottom depth
1021,CASP004-01,,CASP004-01_B-6,,Pink,,Custom,Standard,Bottom depth
1022,CASP004-01,,CASP004-01_B-1,,Pink,,Custom,Standard,Top depth
1023,CASP004-01,,CASP004-01_B-2,,Pink,,Custom,Standard,Top depth
1024,CASP004-01,,CASP004-01_B-3,,Pink,,Custom,Standard,Top depth
1025,CASP004-01,,CASP004-01_B-4,,Pink,,Custom,Standard,Top depth
1026,CASP004-01,,CASP004-01_B-5,,Pink,,Custom,Standard,Bottom depth
1027,CASP004-01,,CASP004-01_B-6,,Pink,,Custom,Standard,Bottom depth
1028,CASP004-01,,CASP004-01_B-1,,Pink,,Custom,Standard,Top depth
1029,CASP004-01,,CASP004-01_B-2,,Pink,,Custom,Standard,Top depth
1030,CASP004-01,,CASP004-01_B-3,,Pink,,Custom,Standard,Top depth
1031,CASP004-01,,CASP004-01_B-4,,Pink,,Custom,Standard,Top depth
1032,CASP004-01,,CASP004-01_B-5,,Pink,,Custom,Standard,Bottom depth
1033,CASP004-01,,CASP004-01_B-6,,Pink,,Custom,Standard,Bottom depth
1034,CASP004-01,,CASP004-01_B-1,,Pink,,Custom,Standard,Top depth
1035,CASP004-01,,CASP004-01_B-2,,Pink,,Custom,Standard,Top depth
1036,CASP004-01,,CASP004-01_B-3,,Pink,,Custom,Standard,Top depth
1037,CASP004-01,,CASP004-01_B-4,,Pink,,Custom,Standard,Top depth
1038,CASP004-01,,CASP004-01_B-5,,Pink,,Custom,Standard,Bottom depth
1039,CASP004-01,,CASP004-01_B-6,,Pink,,Custom,Standard,Bottom depth
1040,CASP004-01,,CASP004-01_A-1,,Green,,Baseline,Standard,Top depth
1041,CASP004-01,,CASP004-01_A-2,,Green,,Baseline,Standard,Top depth
1042,CASP004-01,,CASP004-01_A-3,,Green,,Baseline,Standard,Top depth
1043,CASP004-01,,CASP004-01_A-4,,Green,,Baseline,Standard,Top depth
1044,CASP004-01,,CASP004-01_A-5,,Green,,Baseline,Standard,Bottom depth
1045,CASP004-01,,CASP004-01_A-6,,Green,,Baseline,Standard,Bottom depth
1046,CASP004-01,,CASP004-01_A-1,,Green,,Baseline,Standard,Top depth
1047,CASP004-01,,CASP004-01_A-2,,Green,,Baseline,Standard,Top depth
1048,CASP004-01,,CASP004-01_A-3,,Green,,Baseline,Standard,Top depth
1049,CASP004-01,,CASP004-01_A-4,,Green,,Baseline,Standard,Top depth
1050,CASP004-01,,CASP004-01_A-5,,Green,,Baseline,Standard,Bottom depth
1051,CASP004-01,,CASP004-01_A-6,,Green,,Baseline,Standard,Bottom depth
1052,CASP004-01,,CASP004-01_A-1,,Green,,Baseline,Standard,Top depth
1053,CASP004-01,,CASP004-01_A-2,,Green,,Baseline,Standard,Top depth
1054,CASP004-01,,CASP004-01_A-3,,Green,,Baseline,Standard,Top depth
1055,CASP004-01,,CASP004-01_A-4,,Green,,Baseline,Standard,Top depth
1056,CASP004-01,,CASP004-01_A-5,,Green,,Baseline,Standard,Bottom depth
1057,CASP004-01,,CASP004-01_A-6,,Green,,Baseline,Standard,Bottom depth
1058,CASP004-01,,CASP004-01_A-1,,Green,,Baseline,Standard,Top depth
1059,CASP004-01,,CASP004-01_A-2,,Green,,Baseline,Standard,Top depth
1060,CASP004-01,,CASP004-01_A-3,,Green,,Baseline,Standard,Top depth
1061,CASP004-01,,CASP004-01_A-4,,Green,,Baseline,Standard,Top depth
1062,CASP004-01,,CASP004-01_A-5,,Green,,Baseline,Standard,Bottom depth
1063,CASP004-01,,CASP004-01_A-6,,Green,,Baseline,Standard,Bottom depth
1064,CASP004-01,,CASP004-01_A-1,,Green,,Baseline,Standard,Top depth
1065,CASP004-01,,CASP004-01_A-2,,Green,,Baseline,Standard,Top depth
1066,CASP004-01,,CASP004-01_A-3,,Green,,Baseline,Standard,Top depth
1067,CASP004-01,,CASP004-01_A-4,,Green,,Baseline,Standard,Top depth
1068,CASP004-01,,CASP004-01_A-5,,Green,,Baseline,Standard,Bottom depth
1069,CASP004-01,,CASP004-01_A-6,,Green,,Baseline,Standard,Bottom depth
1070,CASP004-01,,CASP004-01_A-1,,Green,,Baseline,Standard,Top depth
1071,CASP004-01,,CASP004-01_A-2,,Green,,Baseline,Standard,Top depth
1072,CASP004-01,,CASP004-01_A-3,,Green,,Baseline,Standard,Top depth
1073,CASP004-01,,CASP004-01_A-4,,Green,,Baseline,Standard,Top depth
1074,CASP004-01,,CASP004-01_A-5,,Green,,Baseline,Standard,Bottom depth
1075,CASP004-01,,CASP004-01_A-6,,Green,,Baseline,Standard,Bottom depth
1076,CASP004-01,,CASP004-01_B-1,,Pink,,Custom,Standard,Top depth
1077,CASP004-01,,CASP004-01_B-2,,Pink,,Custom,Standard,Top depth
1078,CASP004-01,,CASP004-01_B-3,,Pink,,Custom,Standard,Top depth
1079,CASP004-01,,CASP004-01_B-4,,Pink,,Custom,Standard,Top depth
1080,CASP004-01,,CASP004-01_B-5,,Pink,,Custom,Standard,Bottom depth
1081,CASP004-01,,CASP004-01_B-6,,Pink,,Custom,Standard,Bottom depth
1082,CASP004-01,,CASP004-01_B-1,,Pink,,Custom,Standard,Top depth
1083,CASP004-01,,CASP004-01_B-2,,Pink,,Custom,Standard,Top depth
1084,CASP004-01,,CASP004-01_B-3,,Pink,,Custom,Standard,Top depth
1085,CASP004-01,,CASP004-01_B-4,,Pink,,Custom,Standard,Top depth
1086,CASP004-01,,CASP004-01_B-5,,Pink,,Custom,Standard,Bottom depth
1087,CASP004-01,,CASP004-01_B-6,,Pink,,Custom,Standard,Bottom depth
1088,CASP004-01,,CASP004-01_B-1,,Pink,,Custom,Standard,Top depth
1089,CASP004-01,,CASP004-01_B-2,,Pink,,Custom,Standard,Top depth
1090,CASP004-01,,CASP004-01_B-3,,Pink,,Custom,Standard,Top depth
1091,CASP004-01,,CASP004-01_B-4,,Pink,,Custom,Standard,Top depth
1092,CASP004-01,,CASP004-01_B-5,,Pink,,Custom,Standard,Bottom depth
1093,CASP004-01,,CASP004-01_B-6,,Pink,,Custom,Standard,Bottom depth
1094,CASP004-01,,CASP004-01_B-1,,Pink,,Custom,Standard,Top depth
1095,CASP004-01,,CASP004-01_B-2,,Pink,,Custom,Standard,Top depth
1096,CASP004-01,,CASP004-01_B-3,,Pink,,Custom,Standard,Top depth
1097,CASP004-01,,CASP004-01_B-4,,Pink,,Custom,Standard,Top depth
1098,CASP004-01,,CASP004-01_B-5,,Pink,,Custom,Standard,Bottom depth
1099,CASP004-01,,CASP004-01_B-6,,Pink,,Custom,Standard,Bottom depth
1100,CASP004-01,,CASP004-01_B-1,,Pink,,Custom,Standard,Top depth
1101,CASP004-01,,CASP004-01_B-2,,Pink,,Custom,Standard,Top depth
1102,CASP004-01,,CASP004-01_B-3,,Pink,,Custom,Standard,Top depth
1103,CASP004-01,,CASP004-01_B-4,,Pink,,Custom,Standard,Top depth
1104,CASP004-01,,CASP004-01_B-5,,Pink,,Custom,Standard,Bottom depth
1105,CASP004-01,,CASP004-01_B-6,,Pink,,Custom,Standard,Bottom depth
1106,CASP004-01,,CASP004-01_B-1,,Pink,,Custom,Standard,Top depth
1107,CASP004-01,,CASP004-01_B-2,,Pink,,Custom,Standard,Top depth
1108,CASP004-01,,CASP004-01_B-3,,Pink,,Custom,Standard,Top depth
1109,CASP004-01,,CASP004-01_B-4,,Pink,,Custom,Standard,Top depth
1110,CASP004-01,,CASP004-01_B-5,,Pink,,Custom,Standard,Bottom depth
1111,CASP004-01,,CASP004-01_B-6,,Pink,,Custom,Standard,Bottom depth
